date,symbol_id,symbol_name,open,high,low,close
2025-08-28,1,AAPL,230.82,233.41,229.34,232.56
2025-08-27,1,AAPL,228.61,230.90,228.26,230.49
2025-08-26,1,AAPL,226.87,229.49,224.69,229.31
2025-08-25,1,AAPL,226.48,229.30,226.23,227.16
2025-08-22,1,AAPL,226.17,229.09,225.41,227.76
2025-08-21,1,AAPL,226.27,226.52,223.78,224.90
2025-08-20,1,AAPL,229.98,230.47,225.77,226.01
2025-08-19,1,AAPL,231.28,232.87,229.35,230.56
2025-08-18,1,AAPL,231.70,233.12,230.11,230.89
2025-08-15,1,AAPL,234.00,234.28,229.34,231.59
2025-08-14,1,AAPL,234.06,235.12,230.85,232.78
2025-08-13,1,AAPL,231.07,235.00,230.43,233.33
2025-08-12,1,AAPL,228.00,230.80,227.07,229.65
2026-01-02,7,MSFT,484.38,484.66,470.16,472.94
2025-12-31,7,MSFT,487.84,488.14,483.30,483.62
2025-12-30,7,MSFT,485.93,489.68,485.50,487.48
2025-12-29,7,MSFT,484.86,488.35,484.18,487.10
2025-12-26,7,MSFT,486.70,488.12,485.96,487.71
2025-12-24,7,MSFT,485.68,489.16,484.83,488.02
2025-12-23,7,MSFT,484.98,487.83,484.74,486.85
2025-12-22,7,MSFT,486.12,488.73,482.69,484.92
2025-12-19,7,MSFT,487.36,487.85,482.49,485.92
2025-12-18,7,MSFT,478.19,489.60,477.89,483.98
2025-12-17,7,MSFT,476.90,480.00,475.00,476.12
2025-12-16,7,MSFT,471.90,477.89,470.88,476.39
2025-12-15,7,MSFT,480.10,480.72,472.52,474.82
2025-12-12,7,MSFT,479.82,482.45,476.34,478.53
2025-12-11,7,MSFT,476.63,486.03,475.86,483.47
2025-12-10,7,MSFT,484.03,484.25,475.08,478.56
2025-12-09,7,MSFT,489.10,492.12,488.50,492.02
2025-12-08,7,MSFT,484.88,492.30,484.38,491.02
2025-12-05,7,MSFT,482.52,483.40,478.88,483.16
2025-12-04,7,MSFT,479.76,481.32,476.49,480.84
2025-12-03,7,MSFT,476.32,484.24,475.20,477.73
2025-12-02,7,MSFT,486.72,493.50,486.32,490.00
2025-12-01,7,MSFT,488.44,489.86,484.65,486.74
2025-11-28,7,MSFT,487.60,492.63,486.65,492.01
2025-11-26,7,MSFT,486.31,488.31,481.20,485.50
2025-11-25,7,MSFT,474.07,479.15,464.89,476.99
2025-11-24,7,MSFT,475.00,476.90,468.02,474.00
2025-11-21,7,MSFT,478.50,478.92,468.27,472.12
2025-11-20,7,MSFT,492.71,493.57,475.50,478.43
2025-11-19,7,MSFT,490.10,495.19,482.83,487.12
2025-11-18,7,MSFT,495.36,502.98,486.78,493.79
2025-11-17,7,MSFT,508.45,512.12,504.91,507.49
2025-11-14,7,MSFT,498.23,511.60,497.44,510.18
2025-11-13,7,MSFT,510.31,513.50,501.29,503.29
2025-11-12,7,MSFT,509.36,511.67,499.12,511.14
2025-11-11,7,MSFT,504.80,509.60,502.35,508.68
2025-11-10,7,MSFT,500.04,506.85,498.80,506.00
2025-11-07,7,MSFT,496.94,499.38,493.25,496.82
2025-11-06,7,MSFT,505.66,505.70,495.81,497.10
2025-11-05,7,MSFT,513.30,514.83,506.58,507.16
2025-11-04,7,MSFT,511.76,515.55,507.84,514.33
2025-11-03,7,MSFT,519.80,524.96,514.59,517.03
2025-10-31,7,MSFT,528.88,529.32,515.10,517.81
2025-10-30,7,MSFT,530.48,534.97,522.12,525.76
2025-10-29,7,MSFT,544.94,546.27,536.73,541.55
2025-10-28,7,MSFT,550.00,553.72,540.77,542.07
2025-10-27,7,MSFT,531.78,534.58,529.01,531.52
2025-10-24,7,MSFT,522.79,525.34,520.71,523.61
2025-10-23,7,MSFT,522.46,523.95,518.61,520.56
2025-10-22,7,MSFT,521.15,525.23,517.71,520.54
2025-10-21,7,MSFT,517.50,518.69,513.04,517.66
2025-10-20,7,MSFT,514.61,518.70,513.43,516.79
2025-10-17,7,MSFT,509.04,515.48,507.31,513.58
2025-10-16,7,MSFT,512.58,516.85,508.13,511.61
2025-10-15,7,MSFT,514.96,517.19,510.00,513.43
2025-10-14,7,MSFT,510.22,515.28,506.00,513.57
2025-10-13,7,MSFT,516.41,516.41,511.68,514.05
2025-10-10,7,MSFT,519.64,523.58,509.63,510.96
2025-10-09,7,MSFT,522.34,524.33,517.40,522.40
2025-10-08,7,MSFT,523.28,526.95,523.09,524.85
2025-10-07,7,MSFT,528.28,529.80,521.44,523.98
2025-10-06,7,MSFT,518.61,531.03,518.20,528.57
2025-10-03,7,MSFT,517.10,520.49,515.00,517.35
2025-10-02,7,MSFT,517.64,521.60,510.68,515.74
2025-10-01,7,MSFT,514.80,520.50,511.69,519.71
2025-09-30,7,MSFT,513.24,518.16,509.66,517.95
2025-09-29,7,MSFT,511.50,516.84,508.88,514.60
2025-09-26,7,MSFT,510.06,513.94,506.62,511.46
2025-09-25,7,MSFT,508.30,510.01,505.04,507.03
2025-09-24,7,MSFT,510.38,512.48,506.92,510.15
2025-09-23,7,MSFT,513.80,514.59,507.31,509.23
